hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457764.66512,bf,V,13.938,0.02346,10.203,0.22
2457364.75965,bf,V,13.825,0.02279,11.326,0.237
2457018.65741,bf,V,13.605,0.022,13.865,0.281
2458363.91827,bf,V,14.047,0.02428,9.226,0.206
2458123.53885,bf,V,13.214,0.02232,19.879,0.408
2458034.71871,bf,V,13.344,0.02195,17.637,0.356
2457040.60746,bf,V,13.973,0.02371,9.879,0.215
2457033.61948,bf,V,13.868,0.02302,10.88,0.23
2457032.74389,bf,V,13.682,0.0222,12.92,0.264
2456930.74954,bf,V,14.075,0.02452,8.991,0.203
2458084.78301,bf,V,13.466,0.02185,15.753,0.317
2457625.83878,bf,V,13.13,0.02272,21.484,0.449
2457422.72285,bf,V,14.027,0.02412,9.396,0.208
2457026.70867,bf,V,14.046,0.02427,9.236,0.206
2456957.74899,bf,V,13.381,0.0219,17.041,0.343
2456891.85448,bf,V,13.825,0.02279,11.32,0.237
2458370.8086,bf,V,13.371,0.02191,17.205,0.347
2458331.91221,bf,V,14.045,0.02427,9.243,0.206
2458311.9497,bf,V,13.436,0.02185,16.207,0.326
2458015.77699,bf,V,13.797,0.02265,11.613,0.242
2457799.69005,bf,V,13.966,0.02366,9.944,0.216
2457437.54447,bf,V,13.805,0.02269,11.53,0.241
2457148.45585,bf,V,13.873,0.02305,10.827,0.23
2456951.7592,bf,V,13.874,0.02306,10.818,0.23
2458319.92499,bf,V,13.927,0.02339,10.304,0.222
2458106.74966,bf,V,13.989,0.02382,9.737,0.213
2457426.59088,bf,V,13.466,0.02185,15.761,0.317
2457146.46584,bf,V,14.005,0.02395,9.589,0.211
2457053.59406,bf,V,13.979,0.02375,9.823,0.215
2457233.89967,bf,V,14.137,0.02509,8.498,0.196
2457022.63372,bf,V,14.054,0.02434,9.172,0.205
2456886.87746,bf,V,14.046,0.02427,9.234,0.206
2458383.77573,bf,V,13.446,0.02185,16.056,0.323
2458368.81187,bf,V,13.443,0.02185,16.097,0.324
2458145.66102,bf,V,14.086,0.02462,8.901,0.202
2458125.53879,bf,V,14.056,0.02436,9.151,0.205
