,t,Flux,Flux_error
1336,1546.2372716641557,189868.47,49.214767
1337,1546.2386605678416,189649.89,49.210384
1338,1546.2400494715262,189841.28,49.227325
1339,1546.2414383752114,189877.44,49.21994
1340,1546.2428272788964,189717.97,49.21865
1341,1546.2442161825816,189853.52,49.238583
1342,1546.2456050862668,189894.1,49.23984
1343,1546.246993989952,189781.61,49.242226
1344,1546.2483828936372,189851.86,49.224895
1345,1546.2497717973217,189868.83,49.24322
1346,1546.2511607010063,189796.98,49.221375
1347,1546.2525496046921,189872.83,49.226177
1348,1546.253938508378,189869.03,49.224834
1349,1546.2553274120626,189770.4,49.22675
1350,1546.2567163157476,189714.67,49.225132
1351,1546.2581052194328,189875.19,49.247227
1352,1546.2594941226516,189787.78,49.23136
1353,1546.2608830263368,189899.89,49.216904
1354,1546.2622719300227,189868.31,49.228577
1355,1546.263660833708,189815.3,49.233612
1356,1546.2650497373925,189822.16,49.23424
1357,1546.266438641077,189870.4,49.22358
1358,1546.2678275447622,189745.92,49.216797
1359,1546.269216448448,189900.53,49.207684
1360,1546.2706053521333,189865.3,49.20761
1361,1546.2719942558185,189845.64,49.21296
1362,1546.2733831590378,189759.22,49.236095
1363,1546.2747720627224,189774.77,49.225792
1364,1546.276160966407,189832.9,49.22956
1365,1546.2775498700928,189855.28,49.22547
1366,1546.2789387737787,189904.0,49.221592
1367,1546.2803276774632,189941.12,49.215347
1368,1546.281716580682,189872.86,49.24859
1369,1546.2831054843673,190007.28,49.245144
1370,1546.2844943880532,189838.34,49.225044
1371,1546.2858832917384,189965.9,49.220795
1372,1546.2872721954234,190027.73,49.235176
1373,1546.288661098643,189901.72,49.23644
1374,1546.2900500023275,189958.62,49.236305
1375,1546.291438906012,189828.58,49.222527
1376,1546.2928278096979,189817.48,49.241432
1377,1546.2942167133838,189887.22,49.23094
1378,1546.2956056166026,189817.19,49.223763
1379,1546.2969945202872,189807.66,49.224777
1380,1546.2983834239724,189805.53,49.22792
1381,1546.299772327192,189842.86,49.222176
1382,1546.3011612308771,189854.31,49.207027
